omega	X
7.6969	-1.08355
7.72832	-1.19419
7.75973	-1.24664
7.79115	-1.23432
7.82257	-1.15279
7.85398	-1
7.8854	-0.776358
7.91681	-0.48479
7.94823	-0.130674
7.97965	0.278312
8.01106	0.73241
8.04248	1.2201
8.07389	1.72843
8.10531	2.24351
8.13672	2.75089
8.16814	3.23607
8.19956	3.68499
8.23097	4.0845
8.26239	4.42279
8.2938	4.68978
8.32522	4.87749
8.35664	4.98028
8.38805	4.99507
8.41947	4.9214
8.45088	4.76149
8.4823	4.52015
8.51372	4.2046
8.54513	3.82427
8.57655	3.39041
8.60796	2.91579
8.63938	2.41421
8.6708	1.90009
8.70221	1.38792
8.73363	0.891854
8.76504	0.425202
8.79646	-1.6689e-15
8.82788	-0.373368
8.85929	-0.6865
8.89071	-0.933232
8.92212	-1.10981
8.95354	-1.21498
8.98495	-1.24999
9.01637	-1.2185
9.04779	-1.12641
9.0792	-0.98159
9.11062	-0.793604
9.14203	-0.57329
9.17345	-0.332356
9.20487	-0.0829303
9.23628	0.162903
9.2677	0.393557
9.29911	0.598384
9.33053	0.768068
9.36195	0.894978
9.39336	0.973451
9.42478	1
