t	xt
-4.324	-2.52816+5.03983i
-4.323	-2.49545+5.0536i
-4.322	-2.46266+5.06715i
-4.321	-2.4298+5.08049i
-4.32	-2.39688+5.09362i
-4.319	-2.36388+5.10654i
-4.318	-2.33081+5.11924i
-4.317	-2.29768+5.13173i
-4.316	-2.26449+5.14401i
-4.315	-2.23123+5.15607i
-4.314	-2.19791+5.16792i
-4.313	-2.16453+5.17956i
-4.312	-2.13109+5.19098i
-4.311	-2.09759+5.20218i
-4.31	-2.06404+5.21317i
-4.309	-2.03043+5.22395i
-4.308	-1.99677+5.23451i
-4.307	-1.96306+5.24485i
-4.306	-1.92929+5.25498i
-4.305	-1.89548+5.26489i
-4.304	-1.86162+5.27459i
-4.303	-1.82771+5.28407i
-4.302	-1.79375+5.29333i
-4.301	-1.75975+5.30237i
-4.3	-1.72571+5.3112i
-4.299	-1.69163+5.31981i
-4.298	-1.65751+5.3282i
-4.297	-1.62335+5.33638i
-4.296	-1.58915+5.34433i
-4.295	-1.55492+5.35207i
-4.294	-1.52065+5.35959i
-4.293	-1.48635+5.36689i
-4.292	-1.45202+5.37398i
-4.291	-1.41766+5.38084i
-4.29	-1.38327+5.38749i
-4.289	-1.34885+5.39391i
-4.288	-1.31441+5.40012i
-4.287	-1.27994+5.40611i
-4.286	-1.24545+5.41188i
-4.285	-1.21094+5.41743i
-4.284	-1.17641+5.42276i
-4.283	-1.14185+5.42788i
-4.282	-1.10728+5.43277i
-4.281	-1.0727+5.43745i
-4.28	-1.0381+5.4419i
-4.279	-1.00348+5.44614i
-4.278	-0.968858+5.45015i
-4.277	-0.934221+5.45395i
-4.276	-0.899574+5.45753i
-4.275	-0.86492+5.46089i
-4.274	-0.830259+5.46403i
-4.273	-0.795593+5.46695i
-4.272	-0.760924+5.46966i
-4.271	-0.726251+5.47214i
-4.27	-0.691578+5.4744i
-4.269	-0.656905+5.47645i
-4.268	-0.622234+5.47828i
-4.267	-0.587566+5.47989i
-4.266	-0.552902+5.48128i
-4.265	-0.518244+5.48245i
-4.264	-0.483593+5.4834i
-4.263	-0.448951+5.48414i
-4.262	-0.414319+5.48466i
-4.261	-0.379698+5.48496i
-4.26	-0.34509+5.48504i
-4.259	-0.310495+5.48491i
-4.258	-0.275916+5.48456i
-4.257	-0.241354+5.48399i
-4.256	-0.20681+5.4832i
-4.255	-0.172285+5.4822i
-4.254	-0.137781+5.48098i
-4.253	-0.103299+5.47955i
-4.252	-0.0688409+5.4779i
-4.251	-0.0344074+5.47603i
-4.25	-4.02558e-15+5.47395i
-4.249	0.0343798+5.47165i
-4.248	0.0687308+5.46914i
-4.247	0.103052+5.46641i
-4.246	0.137341+5.46347i
-4.245	0.171597+5.46031i
-4.244	0.20582+5.45695i
-4.243	0.240006+5.45336i
-4.242	0.274156+5.44957i
-4.241	0.308268+5.44556i
-4.24	0.34234+5.44134i
-4.239	0.376371+5.4369i
-4.238	0.410361+5.43226i
-4.237	0.444306+5.4274i
-4.236	0.478207+5.42233i
-4.235	0.512062+5.41705i
-4.234	0.54587+5.41156i
-4.233	0.579629+5.40587i
-4.232	0.613338+5.39996i
-4.231	0.646996+5.39384i
-4.23	0.680601+5.38751i
-4.229	0.714152+5.38098i
-4.228	0.747648+5.37423i
-4.227	0.781088+5.36728i
-4.226	0.81447+5.36012i
-4.225	0.847794+5.35276i
-4.224	0.881056+5.34519i
-4.223	0.914258+5.33741i
-4.222	0.947397+5.32943i
-4.221	0.980471+5.32124i
-4.22	1.01348+5.31285i
-4.219	1.04642+5.30426i
-4.218	1.0793+5.29546i
-4.217	1.1121+5.28646i
-4.216	1.14484+5.27725i
-4.215	1.1775+5.26785i
-4.214	1.21009+5.25824i
-4.213	1.24261+5.24844i
-4.212	1.27505+5.23843i
-4.211	1.30742+5.22822i
-4.21	1.33971+5.21782i
-4.209	1.37192+5.20721i
-4.208	1.40405+5.19641i
-4.207	1.43609+5.18541i
-4.206	1.46806+5.17422i
-4.205	1.49994+5.16282i
-4.204	1.53174+5.15124i
